year	category	n
0116	Bigelow Blvd & Fifth Ave	8
0116	Fifth Ave & S Bouquet St	18
0116	Centre Ave & Kirkpatrick St	1
0116	Coltart Ave & Forbes Ave	2
0116	Zulema St & Coltart Ave	-4
0116	S 27th St & Sidney St. (Southside Works)	-19
0116	S 25th St & E Carson St	8
0116	S 22nd St & E Carson St	-1
0116	S 18th St & Sidney St	-18
0116	S 12th St & E Carson St	-1
0216	Liberty Ave & Stanwix St	-42
0216	Forbes Ave & Market Square	-28
0216	Third Ave & Wood St	2
0216	First Ave & Smithfield St (Art Institute)	0
0216	First Ave & B St (T Station)	6
0216	Forbes Ave & Grant St	5
0216	Ross St & Sixth Ave (Steel Plaza T Station)	3
0216	Stevenson St & Forbes Ave	-9
0216	Centre Ave & PPG Paints Arena	14
0216	12th St & Penn Ave	12
0216	10th St & Penn Ave (David L. Lawrence Convention Center)	6
0216	Fort Duquesne Blvd & 7th St	0
0216	North Shore Trail & Fort Duquesne Bridge	-12
0216	Isabella St & Federal St (PNC Park)	5
0216	Ridge Ave & Brighton Rd (CCAC)	5
0216	Federal St & E North Ave	0
0216	17th St & Penn Ave	-5
0216	21st St & Penn Ave	-27
0216	37th St & Butler St	-10
0216	42nd St & Butler St	-17
0216	42nd & Penn Ave.	35
0216	Taylor St & Liberty Ave	4
0216	Liberty Ave & S Millvale Ave (West Penn Hospital)	9
0216	Liberty Ave & Baum Blvd	5
0216	S Negley Ave & Baum Blvd	-7
0216	Penn Ave & N Fairmount St	33
0216	Penn Ave & S Whitfield St	-18
0216	Shady Ave & Ellsworth Ave	5
0216	Penn Ave & Putnam St (Bakery Square)	-15
0216	Alder St & S Highland Ave	8
0216	S Euclid Ave & Centre Ave	2
0216	Maryland Ave & Ellsworth Ave	-16
0216	Walnut St & College St	12
0216	Ivy St & Walnut St	6
0216	Ellsworth Ave & N Neville St	7
0216	Fifth Ave & S Dithridge St	-2
0216	Schenley Dr at Schenley Plaza (Carnegie Library Main)	5
0216	Frew St & Schenley Dr	-9
0216	Boulevard of the Allies & Parkview Ave	36
0216	Atwood St & Bates St	20
0216	Bigelow Blvd & Fifth Ave	-22
0216	Fifth Ave & S Bouquet St	2
0216	Centre Ave & Kirkpatrick St	3
0216	Coltart Ave & Forbes Ave	4
0216	Zulema St & Coltart Ave	-3
0216	S 27th St & Sidney St. (Southside Works)	-15
0216	S 25th St & E Carson St	6
0216	S 22nd St & E Carson St	6
0216	S 18th St & Sidney St	-8
0216	S 12th St & E Carson St	-9
0316	Liberty Ave & Stanwix St	-54
0316	Forbes Ave & Market Square	-64
0316	Third Ave & Wood St	6
0316	First Ave & Smithfield St (Art Institute)	16
0316	First Ave & B St (T Station)	20
0316	Forbes Ave & Grant St	17
0316	Ross St & Sixth Ave (Steel Plaza T Station)	-1
0316	Stevenson St & Forbes Ave	18
0316	Centre Ave & PPG Paints Arena	16
0316	12th St & Penn Ave	-1
0316	10th St & Penn Ave (David L. Lawrence Convention Center)	12
0316	Fort Duquesne Blvd & 7th St	-26
0316	North Shore Trail & Fort Duquesne Bridge	-16
0316	Isabella St & Federal St (PNC Park)	-8
0316	Ridge Ave & Brighton Rd (CCAC)	12
0316	Federal St & E North Ave	-1
0316	17th St & Penn Ave	-37
0316	21st St & Penn Ave	-44
0316	37th St & Butler St	-9
0316	42nd St & Butler St	-44
0316	42nd & Penn Ave.	60
0316	Taylor St & Liberty Ave	18
0316	Liberty Ave & S Millvale Ave (West Penn Hospital)	36
0316	Liberty Ave & Baum Blvd	-5
0316	S Negley Ave & Baum Blvd	-5
0316	Penn Ave & N Fairmount St	48
0316	Penn Ave & S Whitfield St	-7
0316	Shady Ave & Ellsworth Ave	12
0316	Penn Ave & Putnam St (Bakery Square)	-42
0316	Alder St & S Highland Ave	36
0316	S Euclid Ave & Centre Ave	-1
0316	Maryland Ave & Ellsworth Ave	-20
0316	Walnut St & College St	13
0316	Ivy St & Walnut St	3
0316	Ellsworth Ave & N Neville St	4
0316	Fifth Ave & S Dithridge St	13
0316	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-1
0316	Frew St & Schenley Dr	19
0316	Boulevard of the Allies & Parkview Ave	56
0316	Atwood St & Bates St	9
0316	Bigelow Blvd & Fifth Ave	-12
0316	Fifth Ave & S Bouquet St	-6
0316	Centre Ave & Kirkpatrick St	5
0316	Coltart Ave & Forbes Ave	8
0316	Zulema St & Coltart Ave	0
0316	S 27th St & Sidney St. (Southside Works)	-78
0316	S 25th St & E Carson St	23
0316	S 22nd St & E Carson St	-2
0316	S 18th St & Sidney St	-12
0316	S 12th St & E Carson St	-9
0416	Liberty Ave & Stanwix St	-71
0416	Forbes Ave & Market Square	-81
0416	Third Ave & Wood St	1
0416	First Ave & Smithfield St (Art Institute)	15
0416	First Ave & B St (T Station)	11
0416	Forbes Ave & Grant St	3
0416	Ross St & Sixth Ave (Steel Plaza T Station)	17
0416	Stevenson St & Forbes Ave	10
0416	Centre Ave & PPG Paints Arena	40
0416	12th St & Penn Ave	33
0416	10th St & Penn Ave (David L. Lawrence Convention Center)	2
0416	Fort Duquesne Blvd & 7th St	-12
0416	North Shore Trail & Fort Duquesne Bridge	-28
0416	Isabella St & Federal St (PNC Park)	-6
0416	Ridge Ave & Brighton Rd (CCAC)	22
0416	Federal St & E North Ave	8
0416	17th St & Penn Ave	-34
0416	21st St & Penn Ave	-24
0416	37th St & Butler St	-51
0416	42nd St & Butler St	-58
0416	42nd & Penn Ave.	34
0416	Taylor St & Liberty Ave	24
0416	Liberty Ave & S Millvale Ave (West Penn Hospital)	27
0416	Liberty Ave & Baum Blvd	-6
0416	S Negley Ave & Baum Blvd	-5
0416	Penn Ave & N Fairmount St	51
0416	Penn Ave & S Whitfield St	-11
0416	Shady Ave & Ellsworth Ave	0
0416	Penn Ave & Putnam St (Bakery Square)	-17
0416	Alder St & S Highland Ave	-7
0416	S Euclid Ave & Centre Ave	-8
0416	Maryland Ave & Ellsworth Ave	6
0416	Walnut St & College St	1
0416	Ivy St & Walnut St	-5
0416	Ellsworth Ave & N Neville St	21
0416	Fifth Ave & S Dithridge St	56
0416	Schenley Dr at Schenley Plaza (Carnegie Library Main)	-32
0416	Frew St & Schenley Dr	-7
0416	Boulevard of the Allies & Parkview Ave	64
0416	Atwood St & Bates St	36
0416	Bigelow Blvd & Fifth Ave	-1
0416	Fifth Ave & S Bouquet St	40
0416	Centre Ave & Kirkpatrick St	18
0416	Coltart Ave & Forbes Ave	15
0416	Zulema St & Coltart Ave	5
0416	S 27th St & Sidney St. (Southside Works)	-48
0416	S 25th St & E Carson St	29
0416	S 22nd St & E Carson St	7
0416	S 18th St & Sidney St	-19
0416	S 12th St & E Carson St	-50
0516	Liberty Ave & Stanwix St	-59
0516	Forbes Ave & Market Square	-79
0516	Third Ave & Wood St	21
0516	First Ave & Smithfield St (Art Institute)	-7
0516	First Ave & B St (T Station)	25
0516	Forbes Ave & Grant St	28
0516	Ross St & Sixth Ave (Steel Plaza T Station)	-28
0516	Stevenson St & Forbes Ave	-4
0516	Centre Ave & PPG Paints Arena	32
0516	12th St & Penn Ave	30
0516	10th St & Penn Ave (David L. Lawrence Convention Center)	-16
0516	Fort Duquesne Blvd & 7th St	9
0516	North Shore Trail & Fort Duquesne Bridge	-50
0516	Isabella St & Federal St (PNC Park)	-37
0516	Ridge Ave & Brighton Rd (CCAC)	4
0516	Federal St & E North Ave	0
0516	17th St & Penn Ave	-1
0516	21st St & Penn Ave	-45
0516	37th St & Butler St	-48
0516	42nd St & Butler St	-69
0516	42nd & Penn Ave.	59
0516	Taylor St & Liberty Ave	40
0516	Liberty Ave & S Millvale Ave (West Penn Hospital)	54
0516	Liberty Ave & Baum Blvd	-11
0516	S Negley Ave & Baum Blvd	18
0516	Penn Ave & N Fairmount St	40
0516	Penn Ave & S Whitfield St	-18
0516	Shady Ave & Ellsworth Ave	12
0516	Penn Ave & Putnam St (Bakery Square)	0
0516	Alder St & S Highland Ave	9
0516	S Euclid Ave & Centre Ave	-8
0516	Maryland Ave & Ellsworth Ave	-6
0516	Walnut St & College St	27
0516	Ivy St & Walnut St	-3
0516	Ellsworth Ave & N Neville St	-9
0516	Fifth Ave & S Dithridge St	6
0516	Schenley Dr at Schenley Plaza (Carnegie Library Main)	32
0516	Frew St & Schenley Dr	25
0516	Boulevard of the Allies & Parkview Ave	6
0516	Atwood St & Bates St	21
0516	Bigelow Blvd & Fifth Ave	6
0516	Fifth Ave & S Bouquet St	37
0516	Centre Ave & Kirkpatrick St	21
0516	Coltart Ave & Forbes Ave	35
0516	Zulema St & Coltart Ave	39
0516	S 27th St & Sidney St. (Southside Works)	-122
0516	S 25th St & E Carson St	6
0516	S 22nd St & E Carson St	-36
0516	S 18th St & Sidney St	-19
0516	S 12th St & E Carson St	18
0616	Liberty Ave & Stanwix St	-63
