计数/Trip id,列标签,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,27,7,6,5,27,3,7,3,1,,5,2,4,6,,2,19,6,4,16,8,35,14,32,42,,5,23,8,10,7,18,23,46,188,92,105,383,275,36,36,39,1,29,33,27,3,4,,5,1677
1038,22,19,9,8,139,11,53,4,,2,33,3,9,6,,2,2,1,1,3,,4,9,5,4,1,2,2,3,,,12,1,8,25,32,412,265,287,67,271,540,,122,27,64,29,7,12,8,2546
1039,33,17,9,9,11,2,4,29,,3,5,5,20,11,,,11,12,2,3,10,1,8,19,64,,,3,3,10,2,24,5,47,22,34,74,10,133,345,104,253,,12,15,135,29,16,29,14,1607
1040,14,10,7,9,10,5,7,4,3,1,12,5,3,8,7,6,6,16,22,11,22,24,63,127,57,22,34,21,78,98,21,37,50,148,49,38,58,19,197,96,204,62,,37,66,29,5,25,7,5,1865
1041,37,33,5,8,99,7,46,66,6,3,11,4,15,12,1,2,2,16,16,11,24,28,46,142,65,15,18,20,25,128,10,49,41,182,99,92,98,35,481,253,59,290,2,16,210,121,48,43,16,17,3073
1042,20,28,2,48,1,13,28,,16,6,9,5,2,,,,,,2,15,2,2,17,1,2,,,,,,,2,,,1,,,,,,5,8,35,1,,4,3,4,2,6,290
1043,32,24,7,10,10,9,14,13,6,,7,5,6,9,,2,2,3,2,,4,3,2,14,39,1,5,8,11,6,,13,6,29,33,45,40,40,117,12,29,17,,114,81,68,25,43,23,26,1015
1044,49,68,97,86,22,9,4,4,2,1,16,7,6,14,,3,5,1,1,6,1,3,2,3,5,,18,3,3,1,,2,1,12,3,24,61,19,9,19,58,147,2,27,161,152,36,13,25,15,1226
1045,160,123,95,135,169,39,27,53,5,8,63,71,104,72,4,21,40,97,16,14,1,8,11,9,3,1,,2,4,16,2,7,7,27,23,19,35,6,20,43,3,18,,56,44,3574,123,108,394,294,6174
1046,39,71,50,77,30,59,22,20,,7,26,17,47,36,10,17,45,46,3,7,,1,3,1,1,1,,3,,,2,,1,4,3,1,9,,12,8,4,13,,4,7,284,621,62,191,126,1991
1047,183,209,78,147,15,35,15,38,2,7,29,16,49,44,7,3,32,19,6,14,1,2,1,4,,1,,,,,,2,7,9,4,3,20,2,3,6,7,20,,40,3,151,64,664,110,160,2232
1048,56,125,89,72,38,33,122,179,4,8,42,41,68,51,11,8,48,20,14,18,1,5,2,3,1,,,1,1,3,,4,,6,4,5,5,,2,9,2,6,1,9,3,418,203,77,1023,104,2945
1049,129,219,79,168,173,170,115,123,8,5,54,45,82,121,22,76,48,55,20,22,2,1,1,2,,1,,,,2,1,2,,6,3,6,5,4,4,3,2,10,1,15,10,272,104,117,118,980,3406
总计,6080,6111,1608,1900,2293,1572,1812,1326,482,1624,4972,2471,4759,4296,1194,2338,3041,5359,2326,3105,988,1014,986,1597,1150,598,1178,568,1670,1660,632,1055,1271,2538,1634,1478,2564,1694,2208,1324,1655,2700,74,790,1131,7219,1869,2211,3196,3536,110857
